"Stream/Site name","Type","Nid","Air Temperature ","Air Temperature  (field_air_temperature) - delta"
"Ryan Meadow Student Stewardship Projects","Data: Water Quality","1629","15.6",""
"Ryan Meadow Student Stewardship Projects","Data: Water Quality","1629","","1"
"Ryan Meadow Student Stewardship Projects","Data: Water Quality","1629","","2"
"Ryan Meadow Student Stewardship Projects","Data: Water Quality","1629","","3"
"Ryan Meadow Student Stewardship Projects","Data: Water Quality","1630","61.1",""
"Ryan Meadow Student Stewardship Projects","Data: Water Quality","1630","","1"
"Ryan Meadow Student Stewardship Projects","Data: Water Quality","1630","","2"
"Ryan Meadow Student Stewardship Projects","Data: Water Quality","1630","","3"
"Ryan Meadow Student Stewardship Projects","Data: Water Quality","1637","16.6",""
"Ryan Meadow Student Stewardship Projects","Data: Water Quality","1637","","1"
"Ryan Meadow Student Stewardship Projects","Data: Water Quality","1637","","2"
"Ryan Meadow Student Stewardship Projects","Data: Water Quality","1637","","3"
"Blair Creek","Data: Water Quality","1690","67",""
"Blair Creek","Data: Water Quality","1690","65","1"
"Blair Creek","Data: Water Quality","1690","62","2"
"Blair Creek","Data: Water Quality","1690","61","3"
"Sandy River Outdoor School","Data: Water Quality","1928","",""
"Sandy River Outdoor School","Data: Water Quality","1928","","1"
"Sandy River Outdoor School","Data: Water Quality","1928","","2"
"Sandy River Outdoor School","Data: Water Quality","1928","","3"
"Salmon River #2","Data: Water Quality","1994","60",""
"Salmon River #2","Data: Water Quality","1994","","1"
"Salmon River #2","Data: Water Quality","1994","","2"
"Salmon River #2","Data: Water Quality","1994","","3"
"Salmon River #2","Data: Water Quality","1997","60",""
"Salmon River #2","Data: Water Quality","1997","","1"
"Salmon River #2","Data: Water Quality","1997","","2"
"Salmon River #2","Data: Water Quality","1997","","3"
"SE Belmont","Data: Water Quality","2236","",""
"SE Belmont","Data: Water Quality","2236","","1"
"SE Belmont","Data: Water Quality","2236","","2"
"SE Belmont","Data: Water Quality","2236","","3"
"SE Belmont","Data: Water Quality","2237","43",""
"SE Belmont","Data: Water Quality","2237","43","1"
"SE Belmont","Data: Water Quality","2237","43","2"
"SE Belmont","Data: Water Quality","2237","43","3"
"REALMS Tumalo Creek Study Site","Data: Water Quality","2303","41",""
"REALMS Tumalo Creek Study Site","Data: Water Quality","2303","56","1"
"REALMS Tumalo Creek Study Site","Data: Water Quality","2303","40.8","2"
"REALMS Tumalo Creek Study Site","Data: Water Quality","2303","38.84","3"
"REALMS Tumalo Creek Study Site","Data: Water Quality","2310","42",""
"REALMS Tumalo Creek Study Site","Data: Water Quality","2310","31.3","1"
"REALMS Tumalo Creek Study Site","Data: Water Quality","2310","33.26","2"
"REALMS Tumalo Creek Study Site","Data: Water Quality","2310","33.26","3"
"REALMS Tumalo Creek Study Site","Data: Water Quality","2311","",""
"REALMS Tumalo Creek Study Site","Data: Water Quality","2311","","1"
"REALMS Tumalo Creek Study Site","Data: Water Quality","2311","","2"
"REALMS Tumalo Creek Study Site","Data: Water Quality","2311","","3"
"REALMS Tumalo Creek Study Site","Data: Water Quality","2340","10",""
"REALMS Tumalo Creek Study Site","Data: Water Quality","2340","16.3","1"
"REALMS Tumalo Creek Study Site","Data: Water Quality","2340","17.8","2"
"REALMS Tumalo Creek Study Site","Data: Water Quality","2340","13.7","3"
"SE Belmont","Data: Water Quality","2367","55",""
"SE Belmont","Data: Water Quality","2367","54","1"
"SE Belmont","Data: Water Quality","2367","53","2"
"SE Belmont","Data: Water Quality","2367","55","3"
"SE Belmont","Data: Water Quality","2373","34",""
"SE Belmont","Data: Water Quality","2373","35","1"
"SE Belmont","Data: Water Quality","2373","32","2"
"SE Belmont","Data: Water Quality","2373","32","3"
"Lotus Isle Cove","Data: Water Quality","2375","68",""
"Lotus Isle Cove","Data: Water Quality","2375","70","1"
"Lotus Isle Cove","Data: Water Quality","2375","75","2"
"Lotus Isle Cove","Data: Water Quality","2375","80","3"
"SE Belmont","Data: Water Quality","2376","23",""
"SE Belmont","Data: Water Quality","2376","24","1"
"SE Belmont","Data: Water Quality","2376","21","2"
"SE Belmont","Data: Water Quality","2376","21","3"
"SE Belmont","Data: Water Quality","2381","15",""
"SE Belmont","Data: Water Quality","2381","16","1"
"SE Belmont","Data: Water Quality","2381","13","2"
"SE Belmont","Data: Water Quality","2381","17","3"
"SE Belmont","Data: Water Quality","2408","15",""
"SE Belmont","Data: Water Quality","2408","17","1"
"SE Belmont","Data: Water Quality","2408","15","2"
"SE Belmont","Data: Water Quality","2408","18","3"
"side channel 11","Data: Water Quality","2432","70",""
"side channel 11","Data: Water Quality","2432","60","1"
"side channel 11","Data: Water Quality","2432","72","2"
"side channel 11","Data: Water Quality","2432","","3"
"side channel 11","Data: Water Quality","2435","70",""
"side channel 11","Data: Water Quality","2435","60","1"
"side channel 11","Data: Water Quality","2435","72","2"
"side channel 11","Data: Water Quality","2435","","3"
"Site 2 Example Mock Forest Data","Data: Water Quality","8271","80",""
"Site 2 Example Mock Forest Data","Data: Water Quality","8271","80","1"
"Site 2 Example Mock Forest Data","Data: Water Quality","8271","80","2"
"Site 2 Example Mock Forest Data","Data: Water Quality","8271","79","3"
"Site 2 Example Mock Forest Data","Data: Water Quality","8276","75",""
"Site 2 Example Mock Forest Data","Data: Water Quality","8276","74","1"
"Site 2 Example Mock Forest Data","Data: Water Quality","8276","74","2"
"Site 2 Example Mock Forest Data","Data: Water Quality","8276","74","3"
"Wiley Creek State Park","Data: Water Quality","30981","63.5",""
"Wiley Creek State Park","Data: Water Quality","30981","","1"
"Wiley Creek State Park","Data: Water Quality","30981","","2"
"Wiley Creek State Park","Data: Water Quality","30981","","3"
